,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
17,17,AttentionGAN,5,0,2,0,2
21,21,autonomous-learning-library,18,0,2,0,29
35,37,bullet3,5,0,2,0,482
44,46,CMSIS_5,8,0,2,0,4
174,180,Megatron-LM,2,0,2,0,2
209,215,nematus,2,0,2,0,489
238,244,Pedestron,10,0,2,0,9
259,265,pytorch-CycleGAN-and-pix2pix,5,0,2,0,11
274,280,QPyTorch,10,0,2,0,3
277,284,redner,5,0,2,0,3
287,294,rust-bert,3,0,2,0,3
324,333,tf2-gnn,5,0,2,0,479
355,364,zoltar,10,2,2,1,476
