,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
104,107,flambe,47,2,19,0,49
192,198,mmdetection,60,0,19,0,53
256,262,pytext,35,0,19,0,48
296,303,skorch,47,0,19,0,105
352,361,xfer,45,0,19,0,158
