,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
38,40,catalyst,44,0,20,0,87
41,43,cleverhans,51,4,20,0,3390
76,78,donkeycar,67,1,20,0,591
168,172,machine-learning,46,0,20,0,558
221,227,numpy-ml,48,0,20,0,1016
