,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
27,27,blitz-bayesian-deep-learning,9,0,6,0,52
36,38,calamari,24,0,6,0,956
40,42,ClassyVision,14,0,6,0,12
61,63,deeplift,6,0,6,0,1930
101,104,federated,40,0,6,0,946
109,112,forecasting,10,0,6,0,478
146,149,keras-bert,11,0,6,0,500
172,178,medaka,15,0,6,0,1231
183,189,Mini-Conf,15,0,6,0,16
207,213,multihead-siamese-nets,14,0,6,0,957
219,225,NSpM,26,0,6,0,484
253,259,pyrobolearn,33,0,6,0,33
261,267,pytorch-image-models,20,0,6,0,18
262,268,pytorch-meta,12,0,6,0,49
279,286,returnn,19,0,6,0,489
305,314,stanza,11,0,6,0,21
318,327,TensorNetwork,12,0,6,0,950
326,335,tf-encrypted,24,0,6,0,1416
328,337,tf-quant-finance,21,0,6,0,13
336,345,tract,14,0,6,0,19
338,347,TrainYourOwnYOLO,10,0,6,0,575
348,357,VideoSuperResolution,12,3,6,0,69
349,358,vilbert-multi-task,17,0,6,0,504
351,360,Windows-Machine-Learning,18,0,6,0,482
