,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
94,97,FARM,45,0,27,0,70
230,236,OpenTPOD,86,0,27,0,1171
307,316,strawberryfields,73,0,27,0,1483
