,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
183,memcnn,6,0,3,0,10
184,mesh,12,1,4,1,954
185,meta-dataset,23,3,9,2,987
186,mimicry,45,9,23,5,1057
187,mindmeld,95,6,34,3,1017
188,mindsdb,293,0,87,0,648
189,Mini-Conf,15,0,6,0,16
190,MinkowskiEngine,4,0,4,0,18
191,MIScnn,24,0,8,0,976
192,ml-agents,30,0,10,0,106
193,mljar-supervised,44,0,15,0,43
194,ml-metadata,5,0,1,0,2
195,ml-on-gcp,102,0,45,0,1567
196,M-LOOP,21,4,15,3,1247
197,mmcv,30,0,12,0,118
198,mmdetection,60,0,19,0,53
199,MMdnn,21,0,12,0,570
200,mmf,33,0,10,0,34
201,mmfashion,12,0,5,0,21
202,model-analysis,16,0,9,0,489
203,modeldb,42,0,23,0,1036
204,models,177,0,105,0,1200
205,model_server,49,0,18,0,225
206,ModelsGenesis,20,0,10,0,960
207,modernmt,14,0,4,0,12
208,Monk_Object_Detection,1581,6,687,3,11958
209,monk_v1,205,0,109,0,4401
210,monoloco,12,0,5,0,23
211,moses,9,0,4,0,8
212,mt-dnn,16,0,8,0,21
213,multihead-siamese-nets,14,0,6,0,957
214,nboost,20,0,9,0,499
215,nematus,2,0,2,0,489
216,NeMo,235,0,59,0,180
217,neural-backed-decision-trees,15,0,7,0,40
218,neuralcoref,11,0,5,0,11
219,nevergrad,66,0,18,0,526
220,nflows,19,3,7,1,24
221,nlp-architect,134,0,50,0,1123
222,nni,63,0,35,0,1509
223,nnUNet,21,4,7,0,20
224,norse,16,0,8,0,30
225,NSpM,26,0,6,0,484
226,nucleus,10,0,4,0,74
227,numpy-ml,48,0,20,0,1016
228,nuscenes-devkit,18,0,8,0,94
229,nussl,39,0,8,0,44
230,nyaggle,36,0,18,0,50
231,onnxmltools,23,0,11,0,32
232,OpenNMT-py,31,0,7,0,22
233,OpenNMT-tf,19,0,3,0,486
234,openpifpaf,37,0,13,0,74
235,open_spiel,15,0,4,0,16
236,OpenTPOD,86,0,27,0,1171
237,openvino,456,1,173,0,4541
238,openvino_training_extensions,83,0,15,0,49
239,Optimus,152,0,46,0,1077
240,ottertune,27,0,10,0,594
241,palladium,54,0,29,0,578
242,PARL,120,1,37,0,279
243,ParlAI,70,0,15,0,35
244,Pedestron,10,0,2,0,9
245,pennylane,87,0,23,0,525
246,persephone,18,1,7,1,491
247,pgmpy,18,0,4,0,5
248,pixyz,18,0,7,0,23
249,privacy,34,2,13,0,957
250,prodigy-recipes,23,0,9,0,71
251,pwnagotchi,24,0,11,0,532
252,pycorrector,25,0,11,0,39
253,pykg2vec,21,0,7,0,14
254,pymc3,41,0,8,0,21
255,pymc4,16,0,3,0,8
256,pyod,53,0,18,0,993
257,pyprob,18,0,5,0,18
258,pyro,48,0,10,0,41
259,pyrobolearn,33,0,6,0,33
260,pyrobot,75,0,33,0,915
261,PyShortTextCategorization,19,0,13,0,495
262,pytext,35,0,19,0,48
263,Python,23,0,10,0,599
264,pytorch2keras,14,0,10,0,984
265,pytorch-CycleGAN-and-pix2pix,5,0,2,0,11
266,PyTorch-Encoding,13,0,7,0,72
267,pytorch-image-models,20,0,6,0,18
268,pytorch-meta,12,0,6,0,49
269,pytorch-metric-learning,13,0,5,0,19
270,PyTorch-NLP,18,0,8,0,24
271,pytorch-optimizer,23,0,3,0,3
