,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
87,90,exbert,51,2,23,1,1023
90,93,fairing,47,0,23,0,1543
170,174,Malaya,59,0,23,0,540
175,181,megnet,45,0,23,0,2862
180,186,mimicry,45,9,23,5,1057
197,203,modeldb,42,0,23,0,1036
239,245,pennylane,87,0,23,0,525
