,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
14,14,asteroid,67,1,24,0,84
80,83,ee-outliers,84,0,24,0,115
113,116,gobbli,60,1,24,0,534
