,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
2,2,adeptRL,16,4,7,3,483
22,22,avrae,32,0,7,0,16
37,39,captum,23,0,7,0,29
51,53,covidify,14,0,7,0,69
56,58,ddsp,30,0,7,0,476
64,66,deep-person-reid,23,0,7,0,105
67,69,deepspeech.pytorch,18,0,7,0,18
112,115,gempy,31,1,7,0,36
115,118,graphbrain,21,3,7,1,28
129,132,image-super-resolution,12,2,7,0,982
134,137,io,12,0,7,0,2022
147,150,keras-onnx,14,0,7,0,38
150,153,keras-tuner,18,0,7,0,963
154,157,kornia,27,0,7,0,90
155,158,ktrain,26,2,7,0,24
162,165,leela-zero,12,0,7,0,491
171,177,mcfly,14,2,7,1,480
211,217,neural-backed-decision-trees,15,0,7,0,40
214,220,nflows,19,3,7,1,24
217,223,nnUNet,21,4,7,0,20
226,232,OpenNMT-py,31,0,7,0,22
240,246,persephone,18,1,7,1,491
242,248,pixyz,18,0,7,0,23
247,253,pykg2vec,21,0,7,0,14
260,266,PyTorch-Encoding,13,0,7,0,72
289,296,sciencebeam,24,0,7,0,477
302,311,SPFlow,22,0,7,0,72
304,313,stable-baselines3,30,0,7,0,100
330,339,torchani,21,0,7,0,121
334,343,torchxrayvision,12,0,7,0,59
350,359,vision,14,0,7,0,88
